flow id:,first send:,last send:,last arrive:,send num:,receive num:,send size:,receive size:,FCT:,origin_pg:
11:0:11 11:0:41 10056 100 17,2.003621548,199.879216881,199.879190883,66166,66163,945000,943500,197.875569335,3
11:0:11 11:0:41 10055 100 17,2.003599949,199.894906435,199.894880437,66184,66181,935744,934244,197.891280488,3
11:0:21 11:0:41 10097 100 17,2.016796113,199.891974842,199.891948844,66173,66170,945000,943500,197.875152731,3
11:0:21 11:0:41 10094 100 17,2.015866916,199.85570035,199.855674352,65813,65810,868064,866586,197.839807436,3
11:0:21 11:0:41 10093 100 17,2.015560117,199.883781468,199.88375547,66168,66165,747417,745939,197.868195353,3
11:0:21 11:0:41 10091 100 17,2.015019118,199.882328871,199.882302873,66167,66164,945000,943500,197.867283755,3
11:0:21 11:0:41 10090 100 17,2.014707919,199.878602483,199.878576485,66167,66164,922441,920941,197.863868566,3
11:0:21 11:0:41 10087 100 17,2.013869522,199.875999889,199.875973891,66164,66161,945000,943500,197.862104369,3
11:0:21 11:0:41 10086 100 17,2.013558323,199.875147691,199.875121693,66164,66161,945000,943500,197.86156337,3
11:0:21 11:0:41 10089 100 17,2.01448392,199.877447086,199.877421088,66166,66163,670320,669256,197.862937168,3
11:0:21 11:0:41 10084 100 17,2.012943925,199.872985298,199.8729593,66164,66161,919800,918340,197.860015375,3
11:0:21 11:0:41 10096 100 17,2.016484914,71.3697527,71.676884578,7883,7952,306000,306000,69.660399664,3
11:0:21 11:0:41 10083 100 17,2.012632726,199.8717613,199.871735302,66162,66159,945000,943500,197.859102576,3
11:0:21 11:0:41 10079 100 17,2.011397529,199.864654923,199.864628925,66156,66153,914760,913308,197.853231396,3
11:0:21 11:0:41 10077 100 17,2.010775131,199.862821328,199.86279533,66154,66151,945000,943500,197.852020199,3
11:0:21 11:0:41 10076 100 17,2.010471932,199.861887731,199.861861733,66154,66151,919800,918340,197.851389801,3
11:0:21 11:0:41 10099 100 17,2.017408912,199.854835553,199.854761155,65981,65978,791282,790024,197.837352243,3
11:0:21 11:0:41 10072 100 17,2.009322336,199.854524354,199.854498356,65660,65656,934620,933120,197.84517602,3
11:0:21 11:0:41 10071 100 17,2.009019137,199.859136539,199.859110541,66154,66151,919800,918340,197.850091404,3
11:0:21 11:0:41 10092 100 17,2.015330317,199.883474669,199.883448671,66167,66164,688590,687497,197.868118354,3
11:0:21 11:0:41 10069 100 17,2.008404739,199.857685943,199.857659945,66154,66151,945000,943500,197.849255206,3
11:0:21 11:0:41 10066 100 17,2.007481541,199.912268384,199.912242386,66187,66183,868716,867673,197.904760845,3
