flow id:,first send:,last send:,last arrive:,send num:,receive num,FCT:,origin_pg:
11:0:31 11:0:41 10084 100 17,2.003823722,208.16998909,208.183604853,713560,713691,206.179781131,3
11:0:31 11:0:41 10080 100 17,2.003702525,456.20624388,456.207055986,5235656,5235896,454.203353461,3
11:0:31 11:0:41 10079 100 17,2.003676926,303.936844974,303.941769364,4655382,4655676,301.938092438,3
11:0:31 11:0:41 10078 100 17,2.003639327,1831.938076458,1831.938130456,519015907,519016515,1829.934491129,3
11:0:31 11:0:41 10076 100 17,2.003314929,156.386389856,156.401234604,186531,186569,154.397919675,3
11:0:31 11:0:41 10075 100 17,2.00329053,132.512964934,132.533552268,112285,112316,130.530261738,3
11:0:31 11:0:41 10093 100 17,2.004355115,273.242710737,273.24899572,1482803,1482972,271.244640605,3
11:0:31 11:0:41 10074 100 17,2.003155331,220.542376346,220.552941717,658376,658492,218.549786386,3
11:0:31 11:0:41 10073 100 17,2.002848532,588.361676234,588.361750632,18894845,18895094,586.3589021,3
11:0:31 11:0:41 10072 100 17,2.002809333,1619.127989127,1619.128055925,225812321,225812734,1617.125246592,3
11:0:31 11:0:41 10070 100 17,2.002759935,151.967577794,151.98460014,251194,251254,149.981840205,3
11:0:31 11:0:41 10081 100 17,2.003740924,457.737364859,457.738710055,5264937,5265171,455.734969131,3
11:0:31 11:0:41 10069 100 17,2.002733135,239.379792902,239.386977677,1830538,1830765,237.384244542,3
11:0:31 11:0:41 10068 100 17,2.002607136,231.119726947,231.129251727,774565,774690,229.126644591,3
11:0:31 11:0:41 10066 100 17,2.002291537,144.327412637,144.343507178,102232,102263,142.341215641,3
11:0:31 11:0:41 10071 100 17,2.002785134,131.583588506,131.603666236,147629,147688,129.600881102,3
11:0:31 11:0:41 10065 100 17,2.002261938,741.966737597,741.966797597,46578786,46579150,739.964535659,3
11:0:31 11:0:41 10064 100 17,2.002237338,145.946923359,145.963477696,95493,95535,143.961240358,3
11:0:31 11:0:41 10063 100 17,2.002212539,192.893421319,192.908475873,413231,413322,190.906263334,3
11:0:31 11:0:41 10062 100 17,2.00219514,503.378539521,503.380947516,12712008,12712133,501.378752376,3
11:0:31 11:0:41 10061 100 17,2.002169941,213.842116238,213.853997204,838741,838878,211.851827263,3
11:0:31 11:0:41 10060 100 17,2.002145142,232.903924276,232.913712247,1023698,1023841,230.911567105,3
11:0:31 11:0:41 10059 100 17,2.002107543,736.759434992,736.759494992,46565677,46566050,734.757387449,3
11:0:31 11:0:41 10021 100 17,2.000576779,118.93316086,118.952147983,1845,1845,116.951571204,1
11:0:31 11:0:41 10024 100 17,2.000651376,114.351119461,114.370133995,3822,3824,112.369482619,1
11:0:31 11:0:41 10083 100 17,2.003796922,281.344245754,281.34951354,3127237,3127499,279.345716618,3
11:0:31 11:0:41 10020 100 17,2.00055178,124.007100602,124.023828949,2077,2083,122.023277169,1
11:0:31 11:0:41 10027 100 17,2.000761373,121.957421071,121.977277994,1369,1373,119.976516621,1
11:0:31 11:0:41 10055 100 17,2.001621946,181.843761805,181.860154948,522152,522261,179.858533002,3
11:0:31 11:0:41 10018 100 17,2.000501382,124.022037152,124.038826101,2074,2078,122.038324719,1
11:0:31 11:0:41 10025 100 17,2.000713575,97.459122409,97.47777374,1708,1709,95.477060165,1
11:0:31 11:0:41 10040 100 17,2.001134761,124.975362044,124.992158984,2089,2093,122.991024223,1
11:0:31 11:0:41 10013 100 17,2.000363187,117.570280931,117.587951463,1838,1838,115.587588276,1
11:0:31 11:0:41 10082 100 17,2.003770523,379.768569475,379.770432869,1509691,1509766,377.766662346,3
