flow id:,first send:,last arrive:,FCT:,origin_pg:
11:0:21 11:0:41 10041 100 17,2.005851969,114.04703818,112.04285721,1
11:0:21 11:0:41 10011 100 17,2.001457993,134.239067915,132.237917921,1
11:0:21 11:0:41 10056 100 17,2.008769958,1168.530472916,1166.576330932,3
11:0:21 11:0:41 10081 100 17,2.021546939,1055.198447213,1053.240145243,3
11:0:21 11:0:41 10034 100 17,2.004909974,91.648452561,89.644172594,1
11:0:21 11:0:41 10007 100 17,2.000957995,119.584316343,117.584880349,1
11:0:21 11:0:41 10060 100 17,2.011685956,1132.908040515,1130.955940531,3
11:0:21 11:0:41 10049 100 17,2.007124963,12.42346858,10.418012617,2
11:0:21 11:0:41 10051 100 17,2.007521962,5885.150823324,5883.143571362,2
11:0:21 11:0:41 10008 100 17,2.001081994,112.789978518,110.789350524,1
11:0:21 11:0:41 10035 100 17,2.005034974,138.665616379,136.660909406,1
11:0:21 11:0:41 10002 100 17,2.000315999,104.238635961,102.238555962,1
11:0:21 11:0:41 10010 100 17,2.001332993,138.240841012,136.240940016,1
11:0:21 11:0:41 10031 100 17,2.004470977,134.239193914,132.235031936,1
11:0:21 11:0:41 10082 100 17,2.021738939,249.895258845,248.038692768,3
11:0:21 11:0:41 10075 100 17,2.019202945,1360.802212438,1358.827654471,3
11:0:21 11:0:41 10012 100 17,2.001582993,130.506903597,128.5063196,1
11:0:21 11:0:41 10029 100 17,2.004222979,138.635978431,136.633294452,1
11:0:21 11:0:41 10033 100 17,2.004783975,119.173419884,117.168970909,1
11:0:21 11:0:41 10026 100 17,2.00372798,75.323380137,73.320879157,1
11:0:21 11:0:41 10040 100 17,2.00566297,133.093799546,131.089055572,1
11:0:21 11:0:41 10032 100 17,2.004594976,126.755402864,124.751835889,1
11:0:21 11:0:41 10095 100 17,2.028538928,834.298896341,832.362022367,3
11:0:21 11:0:41 10037 100 17,2.005284972,142.605192446,140.600945473,1
11:0:21 11:0:41 10043 100 17,2.006099967,135.102592563,133.098282597,1
11:0:21 11:0:41 10001 100 17,2.000125,130.255533902,128.2558909,1
11:0:21 11:0:41 10045 100 17,2.006480966,223.487625971,221.481475998,2
11:0:21 11:0:41 10013 100 17,2.001774993,124.175720741,122.174184748,1
11:0:21 11:0:41 10042 100 17,2.005975968,136.349357754,134.343986787,1
11:0:21 11:0:41 10046 100 17,2.006645965,251.344669647,249.502105552,2
11:0:21 11:0:41 10059 100 17,2.011573957,6495.667009542,6493.655645583,3
11:0:21 11:0:41 10048 100 17,2.006936964,2439.531829408,2437.525893446,2
11:0:21 11:0:41 10061 100 17,2.013219955,792.273682821,790.360970816,3
11:0:21 11:0:41 10009 100 17,2.001207993,134.269142877,132.268502887,1
11:0:21 11:0:41 10050 100 17,2.007380962,260.104179251,258.098131288,2
11:0:21 11:0:41 10052 100 17,2.007655962,293.410309237,291.558865179,2
11:0:21 11:0:41 10057 100 17,2.009849958,267.97256068,266.130060607,3
11:0:31 11:0:41 10099 100 17,2.024643927,1953.82369698,1951.829164037,3
11:0:31 11:0:41 10095 100 17,2.02263493,1969.698129011,1967.704575068,3
11:0:31 11:0:41 10092 100 17,2.021587933,865.773928286,863.837178311,3
11:0:31 11:0:41 10090 100 17,2.021265934,1695.347246257,1693.360313305,3
11:0:31 11:0:41 10088 100 17,2.021016935,882.971021805,881.037171829,3
11:0:31 11:0:41 10087 100 17,2.020891935,820.604101082,818.680070106,3
11:0:31 11:0:41 10085 100 17,2.020640937,639.203576316,637.292596329,3
11:0:31 11:0:41 10084 100 17,2.019118938,900.900924952,898.956678979,3
11:0:31 11:0:41 10080 100 17,2.018512939,1364.077478568,1362.107458605,3
11:0:31 11:0:41 10079 100 17,2.01838494,1737.296399818,1735.311749861,3
11:0:31 11:0:41 10078 100 17,2.018196941,5362.518726207,5360.501883278,3
11:0:31 11:0:41 10076 100 17,2.016574942,367.207539214,365.325306154,3
11:0:31 11:0:41 10075 100 17,2.016452943,311.802726788,309.931965777,3
11:0:31 11:0:41 10093 100 17,2.021775932,1199.100695119,1197.130502159,3
11:0:31 11:0:41 10074 100 17,2.015776944,891.934382448,890.005441464,3
11:0:31 11:0:41 10073 100 17,2.014242945,2415.547807941,2413.548904988,3
11:0:31 11:0:41 10072 100 17,2.014046946,4422.01466523,4420.001937284,3
11:0:31 11:0:41 10070 100 17,2.013799948,441.950024911,440.055154902,3
11:0:31 11:0:41 10081 100 17,2.018704939,1475.815486461,1473.8407375,3
11:0:31 11:0:41 10069 100 17,2.013665948,1307.334050104,1305.36950113,3
11:0:31 11:0:41 10068 100 17,2.013035948,945.233158933,943.29341395,3
11:0:31 11:0:41 10066 100 17,2.01145795,310.988750182,309.123842167,3
11:0:31 11:0:41 10071 100 17,2.013925947,507.497426734,505.599328738,3
11:0:31 11:0:41 10065 100 17,2.011309951,3227.875101054,3225.876724098,3
11:0:31 11:0:41 10064 100 17,2.011186951,373.312403964,371.431758908,3
11:0:31 11:0:41 10063 100 17,2.011062952,698.204615875,696.305279874,3
11:0:31 11:0:41 10062 100 17,2.010975952,1763.7411827,1761.764340726,3
11:0:31 11:0:41 10061 100 17,2.010849953,940.430649447,938.499963449,3
11:0:31 11:0:41 10060 100 17,2.010725954,1022.965704774,1021.024567785,3
11:0:31 11:0:41 10059 100 17,2.010537955,3230.235022413,3228.229898456,3
11:0:31 11:0:41 10021 100 17,2.002883985,139.487665205,137.48518922,1
11:0:31 11:0:41 10024 100 17,2.003256982,122.064998498,120.063460516,1
11:0:31 11:0:41 10083 100 17,2.018984938,1535.129038083,1533.149756122,3
11:0:31 11:0:41 10020 100 17,2.002758985,142.399368793,140.396894807,1
11:0:31 11:0:41 10027 100 17,2.00380698,138.897132037,136.893766057,1
11:0:31 11:0:41 10055 100 17,2.008109957,726.561972195,724.66181119,3
11:0:31 11:0:41 10018 100 17,2.002506986,142.530422582,140.528893595,1
11:0:31 11:0:41 10025 100 17,2.003567982,102.976103999,100.974047018,1
11:0:31 11:0:41 10040 100 17,2.005673971,145.475928005,143.470517035,1
11:0:31 11:0:41 10013 100 17,2.00181599,138.434251742,136.433498747,1
11:0:31 11:0:41 10082 100 17,2.018852938,982.544807669,980.591447698,3
11:0:31 11:0:41 10002 100 17,2.000249998,142.73639825,140.737215254,1
11:0:31 11:0:41 10014 100 17,2.001942989,106.961592405,104.961011418,1
11:0:31 11:0:41 10094 100 17,2.022403931,1486.837688931,1484.855524978,3
11:0:31 11:0:41 10003 100 17,2.000440997,100.57712404,98.576958043,1
11:0:31 11:0:41 10097 100 17,2.024259929,4323.235195415,4321.211313484,3
11:0:31 11:0:41 10052 100 17,2.007575959,168.160510651,166.154640681,2
11:0:31 11:0:41 10089 100 17,2.021140934,357.231734052,355.348009011,3
11:0:31 11:0:41 10015 100 17,2.002066988,137.679405855,135.678330867,1
11:0:31 11:0:41 10004 100 17,2.000564996,131.537828474,129.53785048,1
11:0:31 11:0:41 10005 100 17,2.000689996,141.886339609,139.885995602,1
11:0:31 11:0:41 10016 100 17,2.002255987,145.710451669,143.708475682,1
11:0:31 11:0:41 10000 100 17,2,138.391079816,136.391454817,1
11:0:31 11:0:41 10017 100 17,2.002381986,82.133512966,80.131464979,1
11:0:31 11:0:41 10029 100 17,2.00418898,140.601212557,138.597552579,1
11:0:31 11:0:41 10098 100 17,2.024447928,3481.915761815,3479.891652886,3
11:0:31 11:0:41 10022 100 17,2.003007984,141.895588548,139.893804565,1
11:0:31 11:0:41 10007 100 17,2.000935994,143.485039085,141.485678092,1
11:0:31 11:0:41 10026 100 17,2.003682981,146.651032189,144.64763221,1
11:0:31 11:0:41 10032 100 17,2.004622978,139.487789204,137.483577226,1
11:0:31 11:0:41 10038 100 17,2.005398973,133.0497056,131.044979626,1
11:0:31 11:0:41 10009 100 17,2.001249993,139.486120212,137.486169215,1
11:0:31 11:0:41 10056 100 17,2.008757957,715.545992466,713.648917456,3
11:0:31 11:0:41 10001 100 17,2.000123999,82.170929922,80.171308924,1
11:0:31 11:0:41 10010 100 17,2.001375992,131.180396829,129.179624837,1
11:0:31 11:0:41 10067 100 17,2.011581949,3196.21901669,3194.220813735,3
11:0:31 11:0:41 10023 100 17,2.003134983,126.301952566,124.299491579,1
11:0:31 11:0:41 10019 100 17,2.002631986,139.486244211,137.484911221,1
11:0:31 11:0:41 10042 100 17,2.005921969,146.620784235,144.615835266,1
11:0:31 11:0:41 10012 100 17,2.00169099,147.940618999,145.939203009,1
11:0:31 11:0:41 10011 100 17,2.001564991,141.982118411,139.981476417,1
11:0:31 11:0:41 10077 100 17,2.016661942,506.619346127,504.721737139,3
11:0:31 11:0:41 10028 100 17,2.00399698,133.237824354,131.235254371,1
11:0:31 11:0:41 10034 100 17,2.004873977,138.391204816,136.386729839,1
11:0:31 11:0:41 10030 100 17,2.004370979,100.575994041,98.572763063,1
11:0:31 11:0:41 10033 100 17,2.004748977,163.11451724,161.110042259,1
11:0:31 11:0:41 10035 100 17,2.005022976,106.528109849,104.523471876,1
11:0:31 11:0:41 10036 100 17,2.005148975,145.536607905,143.533022932,1
11:0:31 11:0:41 10039 100 17,2.005547972,131.121965893,129.116935922,1
11:0:31 11:0:41 10043 100 17,2.006048968,146.092616073,144.087254106,1
11:0:31 11:0:41 10031 100 17,2.004497978,145.802577542,143.798424569,1
11:0:31 11:0:41 10037 100 17,2.005272974,145.802702542,143.797774573,1
11:0:31 11:0:41 10047 100 17,2.006623964,309.997292656,307.991040693,2
11:0:31 11:0:41 10041 100 17,2.00579797,141.886716608,139.881266626,1
11:0:31 11:0:41 10048 100 17,2.006801963,191.775837795,189.770938833,2
11:0:31 11:0:41 10044 100 17,2.006175967,130.62990846,128.624295495,1
11:0:31 11:0:41 10096 100 17,2.02414693,894.854863015,892.910466042,3
11:0:31 11:0:41 10045 100 17,2.006366966,299.4834885,297.478671534,2
11:0:31 11:0:41 10086 100 17,2.020764936,838.550726218,836.625639237,3
11:0:31 11:0:41 10046 100 17,2.006476965,283.548000144,281.54267518,2
11:0:31 11:0:41 10006 100 17,2.000813995,82.133968963,80.134576968,1
11:0:31 11:0:41 10049 100 17,2.007007962,256.128928097,254.122796135,2
11:0:31 11:0:41 10091 100 17,2.021399934,1709.252144729,1707.26084778,3
11:0:31 11:0:41 10050 100 17,2.007191961,2412.711346839,2410.70478088,2
11:0:31 11:0:41 10051 100 17,2.00739196,158.493421135,156.487624176,2
11:0:31 11:0:41 10053 100 17,2.007751958,247.762583607,245.756294649,2
11:0:31 11:0:41 10054 100 17,2.007968957,364.591289472,362.719582384,2
11:0:31 11:0:41 10008 100 17,2.001124993,147.921059029,145.920363035,1
11:0:31 11:0:41 10058 100 17,2.010412955,370.624573328,368.749491234,3
11:0:31 11:0:41 10057 100 17,2.010291956,2182.662097326,2180.669625359,3
