flow id:,first send:,last arrive:,FCT:,origin_pg:
11:0:21 11:0:41 10099 100 17,2.005842908,263.011917294,261.013198562,3
11:0:21 11:0:41 10072 100 17,2.003743733,194.120559726,192.131191553,3
11:0:21 11:0:41 10071 100 17,2.003721334,3177.307601703,3175.303926367,3
11:0:21 11:0:41 10092 100 17,2.005396115,150.988761696,149.001646126,3
11:0:21 11:0:41 10069 100 17,2.003672335,268.932179857,266.9355819,3
11:0:21 11:0:41 10066 100 17,2.003292338,104.512642538,102.527493535,3
11:0:21 11:0:41 10065 100 17,2.003047139,145.040625695,143.053954498,3
11:0:21 11:0:41 10063 100 17,2.002975541,135.568457292,133.584465687,3
11:0:21 11:0:41 10062 100 17,2.002950542,156.467540573,154.479603583,3
11:0:21 11:0:41 10028 100 17,2.000806173,128.657418624,126.675090193,1
11:0:21 11:0:41 10027 100 17,2.000768173,118.694133495,116.712083261,1
11:0:21 11:0:41 10025 100 17,2.000718575,95.480511257,93.500158412,1
11:0:21 11:0:41 10098 100 17,2.005796309,846.950369384,844.944658273,3
11:0:21 11:0:41 10070 100 17,2.003699135,522.307465252,520.304032847,3
11:0:21 11:0:41 10022 100 17,2.000617778,120.090444664,118.109639411,1
11:0:21 11:0:41 10021 100 17,2.000579579,117.514919935,115.534155486,1
11:0:21 11:0:41 10053 100 17,2.00157275,135.359079381,133.378926962,2
11:0:21 11:0:41 10020 100 17,2.00055418,125.348700358,123.365540516,1
11:0:21 11:0:41 10067 100 17,2.003317537,273.901360125,271.90580137,3
11:0:21 11:0:41 10047 100 17,2.001365355,194.773792363,192.786268969,2
11:0:21 11:0:41 10019 100 17,2.000529381,128.251919654,126.269693605,1
11:0:21 11:0:41 10044 100 17,2.001257958,124.806957838,122.825626616,1
11:0:21 11:0:41 10080 100 17,2.004284925,179.069254116,177.079471936,3
11:0:21 11:0:41 10024 100 17,2.000693776,92.124401628,90.144224787,1
11:0:21 11:0:41 10055 100 17,2.001729148,220.470187951,218.479216769,3
11:0:21 11:0:41 10018 100 17,2.000504582,118.728182779,116.747665531,1
11:0:21 11:0:41 10023 100 17,2.000655977,125.945072638,123.961979998,1
11:0:21 11:0:41 10085 100 17,2.004645721,271.996593642,269.997712508,3
11:0:21 11:0:41 10058 100 17,2.002277145,571.077660689,569.075443544,3
11:0:21 11:0:41 10064 100 17,2.00300094,407.661422951,405.660363604,3
11:0:21 11:0:41 10017 100 17,2.000479183,116.563291815,114.579433975,1
11:0:21 11:0:41 10078 100 17,2.003931727,204.124868956,202.13189079,3
11:0:21 11:0:41 10030 100 17,2.000869371,117.518509519,115.538003677,1
11:0:21 11:0:41 10073 100 17,2.003768932,292.126109036,290.12787409,3
11:0:21 11:0:41 10036 100 17,2.001031765,124.010282794,122.026192574,1
11:0:21 11:0:41 10038 100 17,2.001082163,107.442854811,105.461674583,1
11:0:21 11:0:41 10014 100 17,2.000393186,122.319163967,120.336829916,1
11:0:21 11:0:41 10000 100 17,2,123.690796916,121.709775452,1
11:0:21 11:0:41 10054 100 17,2.001677949,8.892807835,6.911179219,2
11:0:21 11:0:41 10074 100 17,2.003815131,255.906672696,253.908286348,3
11:0:21 11:0:41 10016 100 17,2.000456184,75.523574708,73.54344665,1
11:0:21 11:0:41 10003 100 17,2.000086197,101.253986672,99.273527804,1
11:0:21 11:0:41 10004 100 17,2.000111196,113.565098222,111.583268963,1
11:0:21 11:0:41 10068 100 17,2.003624336,451.168582105,449.165644168,3
11:0:21 11:0:41 10005 100 17,2.000140995,128.180346124,126.196427263,1
11:0:21 11:0:41 10088 100 17,2.004722318,244.768979324,242.772489588,3
11:0:21 11:0:41 10039 100 17,2.001107162,128.218853371,126.235435345,1
11:0:21 11:0:41 10015 100 17,2.000431385,124.077995367,122.095907519,1
11:0:21 11:0:41 10006 100 17,2.000166194,121.750018581,119.767302524,1
11:0:21 11:0:41 10041 100 17,2.00117036,106.332593915,104.349288087,1
11:0:21 11:0:41 10011 100 17,2.000291589,123.695980096,121.714204846,1
11:0:21 11:0:41 10056 100 17,2.001753947,266.366671017,264.372130445,3
11:0:21 11:0:41 10081 100 17,2.004309324,306.32335487,304.324104533,3
11:0:21 11:0:41 10034 100 17,2.000981967,85.426466379,83.446626344,1
11:0:21 11:0:41 10007 100 17,2.000191593,108.153771224,106.17355156,1
11:0:21 11:0:41 10060 100 17,2.002337143,260.194370031,258.197585074,3
11:0:21 11:0:41 10049 100 17,2.001424953,8.907109983,6.925772764,2
11:0:21 11:0:41 10051 100 17,2.001504351,5871.201345811,5869.19989706,2
11:0:21 11:0:41 10008 100 17,2.000216392,100.882878209,98.903202946,1
11:0:21 11:0:41 10035 100 17,2.001006966,121.617660867,119.63572443,1
11:0:21 11:0:41 10002 100 17,2.000063198,97.349981401,95.371831323,1
11:0:21 11:0:41 10010 100 17,2.00026659,128.218827972,126.236250918,1
11:0:21 11:0:41 10031 100 17,2.00089417,123.696005295,121.713627664,1
11:0:21 11:0:41 10082 100 17,2.004347723,101.272998401,99.288730002,3
11:0:21 11:0:41 10075 100 17,2.00384053,258.687596699,256.691346346,3
11:0:21 11:0:41 10012 100 17,2.000316588,112.980086907,110.998270446,1
11:0:21 11:0:41 10029 100 17,2.000844572,121.438088901,119.457404859,1
11:0:21 11:0:41 10033 100 17,2.000956768,111.839446409,109.854783177,1
11:0:21 11:0:41 10026 100 17,2.000745574,75.314011847,73.333907211,1
11:0:21 11:0:41 10040 100 17,2.001132561,120.487221215,118.505899388,1
11:0:21 11:0:41 10032 100 17,2.000918969,125.584509321,123.598531501,1
11:0:21 11:0:41 10095 100 17,2.005707712,197.539847372,195.547563417,3
11:0:21 11:0:41 10037 100 17,2.001056964,125.343987175,123.360656947,1
11:0:21 11:0:41 10043 100 17,2.001219958,123.160195646,121.17577023,1
11:0:21 11:0:41 10001 100 17,2.000024999,126.676038305,124.693847841,1
11:0:21 11:0:41 10045 100 17,2.001296157,164.433866447,162.44833064,2
11:0:21 11:0:41 10013 100 17,2.000354987,117.514881736,115.534341879,1
11:0:21 11:0:41 10042 100 17,2.001195159,118.920944913,116.939822076,1
11:0:21 11:0:41 10046 100 17,2.001329156,239.459389046,237.464514671,2
11:0:21 11:0:41 10059 100 17,2.002314744,3488.7943706,3486.792099454,3
11:0:21 11:0:41 10048 100 17,2.001387354,2439.11704236,2437.115732204,2
11:0:21 11:0:41 10061 100 17,2.002643942,208.077999789,206.087494008,3
11:0:21 11:0:41 10009 100 17,2.000241591,123.748211111,121.766268052,1
11:0:21 11:0:41 10050 100 17,2.001476152,192.84449487,190.856564271,2
11:0:21 11:0:41 10052 100 17,2.001531151,239.574452704,237.580982323,2
11:0:21 11:0:41 10057 100 17,2.001969946,143.294271454,141.309571442,3
11:0:31 11:0:41 10099 100 17,2.004928709,339.446598944,337.447038614,3
11:0:31 11:0:41 10095 100 17,2.004526913,365.250416215,363.249791884,3
11:0:31 11:0:41 10092 100 17,2.004317516,301.575644039,299.575688913,3
11:0:31 11:0:41 10090 100 17,2.004253117,309.210766606,307.211209874,3
11:0:31 11:0:41 10088 100 17,2.004203319,206.114324077,204.123098123,3
11:0:31 11:0:41 10087 100 17,2.00417832,184.64545577,182.655706999,3
11:0:31 11:0:41 10085 100 17,2.004128122,187.462960447,185.47439468,3
11:0:31 11:0:41 10084 100 17,2.003823722,208.16998909,206.179781131,3
11:0:31 11:0:41 10080 100 17,2.003702525,456.20624388,454.203353461,3
11:0:31 11:0:41 10079 100 17,2.003676926,303.936844974,301.938092438,3
11:0:31 11:0:41 10078 100 17,2.003639327,1831.938076458,1829.934491129,3
11:0:31 11:0:41 10076 100 17,2.003314929,156.386389856,154.397919675,3
11:0:31 11:0:41 10075 100 17,2.00329053,132.512964934,130.530261738,3
11:0:31 11:0:41 10093 100 17,2.004355115,273.242710737,271.244640605,3
11:0:31 11:0:41 10074 100 17,2.003155331,220.542376346,218.549786386,3
11:0:31 11:0:41 10073 100 17,2.002848532,588.361676234,586.3589021,3
11:0:31 11:0:41 10072 100 17,2.002809333,1619.127989127,1617.125246592,3
11:0:31 11:0:41 10070 100 17,2.002759935,151.967577794,149.981840205,3
11:0:31 11:0:41 10081 100 17,2.003740924,457.737364859,455.734969131,3
11:0:31 11:0:41 10069 100 17,2.002733135,239.379792902,237.384244542,3
11:0:31 11:0:41 10068 100 17,2.002607136,231.119726947,229.126644591,3
11:0:31 11:0:41 10066 100 17,2.002291537,144.327412637,142.341215641,3
11:0:31 11:0:41 10071 100 17,2.002785134,131.583588506,129.600881102,3
11:0:31 11:0:41 10065 100 17,2.002261938,741.966737597,739.964535659,3
11:0:31 11:0:41 10064 100 17,2.002237338,145.946923359,143.961240358,3
11:0:31 11:0:41 10063 100 17,2.002212539,192.893421319,190.906263334,3
11:0:31 11:0:41 10062 100 17,2.00219514,503.378539521,501.378752376,3
11:0:31 11:0:41 10061 100 17,2.002169941,213.842116238,211.851827263,3
11:0:31 11:0:41 10060 100 17,2.002145142,232.903924276,230.911567105,3
11:0:31 11:0:41 10059 100 17,2.002107543,736.759434992,734.757387449,3
11:0:31 11:0:41 10021 100 17,2.000576779,118.93316086,116.951571204,1
11:0:31 11:0:41 10024 100 17,2.000651376,114.351119461,112.369482619,1
11:0:31 11:0:41 10083 100 17,2.003796922,281.344245754,279.345716618,3
11:0:31 11:0:41 10020 100 17,2.00055178,124.007100602,122.023277169,1
11:0:31 11:0:41 10027 100 17,2.000761373,121.957421071,119.976516621,1
11:0:31 11:0:41 10055 100 17,2.001621946,181.843761805,179.858533002,3
11:0:31 11:0:41 10018 100 17,2.000501382,124.022037152,122.038324719,1
11:0:31 11:0:41 10025 100 17,2.000713575,97.459122409,95.477060165,1
11:0:31 11:0:41 10040 100 17,2.001134761,124.975362044,122.991024223,1
11:0:31 11:0:41 10013 100 17,2.000363187,117.570280931,115.587588276,1
11:0:31 11:0:41 10082 100 17,2.003770523,379.768569475,377.766662346,3
11:0:31 11:0:41 10002 100 17,2.000049998,126.804863829,124.822306168,1
11:0:31 11:0:41 10014 100 17,2.000388586,89.295731888,87.315128631,1
11:0:31 11:0:41 10094 100 17,2.004480714,349.402954948,347.401848022,3
11:0:31 11:0:41 10003 100 17,2.000088197,88.874187187,86.892882915,1
11:0:31 11:0:41 10097 100 17,2.004851911,1608.654370865,1606.649723354,3
11:0:31 11:0:41 10052 100 17,2.001515149,129.359123961,127.373391357,2
11:0:31 11:0:41 10089 100 17,2.004228118,125.371367676,123.3837197,3
11:0:31 11:0:41 10015 100 17,2.000413385,117.371737653,115.388826211,1
11:0:31 11:0:41 10004 100 17,2.000112996,111.899657984,109.917242333,1
11:0:31 11:0:41 10005 100 17,2.000137995,121.448436666,119.4673742,1
11:0:31 11:0:41 10016 100 17,2.000451184,125.351067153,123.367860904,1
11:0:31 11:0:41 10000 100 17,2,117.524727296,115.544603827,1
11:0:31 11:0:41 10017 100 17,2.000476383,75.498532191,73.518842741,1
11:0:31 11:0:41 10029 100 17,2.000837772,124.149592909,122.167882673,1
