flow id:,first send:,last arrive:,FCT:,origin_pg:
11:0:21 11:0:41 10030 100 17,2.004346978,117.695200762,115.84916969,1
11:0:21 11:0:41 10073 100 17,2.018844947,1401.024761468,1399.0508615,3
11:0:21 11:0:41 10036 100 17,2.005158973,124.087316162,122.240203102,1
11:0:21 11:0:41 10038 100 17,2.005410971,109.773621118,107.929320068,1
11:0:21 11:0:41 10014 100 17,2.001965992,122.42798109,120.582239009,1
11:0:21 11:0:41 10000 100 17,2,123.878189275,122.037683186,1
11:0:21 11:0:41 10054 100 17,2.00838996,9.014982274,7.137707238,2
11:0:21 11:0:41 10074 100 17,2.019075946,1070.678041807,1068.721381832,3
11:0:21 11:0:41 10016 100 17,2.00228099,79.135568145,77.29377806,1
11:0:21 11:0:41 10003 100 17,2.000430998,103.907482381,102.075722291,1
11:0:21 11:0:41 10004 100 17,2.000555998,113.81063791,111.964780828,1
11:0:21 11:0:41 10068 100 17,2.018121951,1680.246907399,1678.265677431,3
11:0:21 11:0:41 10005 100 17,2.000704997,128.313549949,126.46710186,1
11:0:21 11:0:41 10088 100 17,2.023611933,1018.475293512,1016.514606546,3
11:0:21 11:0:41 10039 100 17,2.005535971,128.396371897,126.547834831,1
11:0:21 11:0:41 10015 100 17,2.002156991,124.191254097,122.350792028,1
11:0:21 11:0:41 10006 100 17,2.000830996,121.905463408,120.059985314,1
11:0:21 11:0:41 10041 100 17,2.005851969,108.456757837,106.609858773,1
11:0:21 11:0:41 10011 100 17,2.001457993,123.803757331,121.959849239,1
11:0:21 11:0:41 10056 100 17,2.008769958,1140.422864949,1138.473684959,3
11:0:21 11:0:41 10081 100 17,2.021546939,1325.327563875,1323.35364891,3
11:0:21 11:0:41 10034 100 17,2.004909974,88.402174985,86.554443925,1
11:0:21 11:0:41 10007 100 17,2.000957995,115.430966012,113.589402926,1
11:0:21 11:0:41 10060 100 17,2.011685956,1104.688264152,1102.733815166,3
11:0:21 11:0:41 10049 100 17,2.007124963,9.02476927,7.149099229,2
11:0:21 11:0:41 10051 100 17,2.007521962,5876.25478952,5874.247537558,2
11:0:21 11:0:41 10008 100 17,2.001081994,104.547023035,102.707884961,1
11:0:21 11:0:41 10035 100 17,2.005034974,121.82488346,119.974194387,1
11:0:21 11:0:41 10002 100 17,2.000315999,99.796963661,97.96087357,1
11:0:21 11:0:41 10010 100 17,2.001332993,128.313676948,126.466600863,1
11:0:21 11:0:41 10031 100 17,2.004470977,123.906021259,122.062212196,1
11:0:21 11:0:41 10082 100 17,2.021738939,359.698162021,357.800466013,3
11:0:21 11:0:41 10075 100 17,2.019202945,1336.709858345,1334.736726375,3
11:0:21 11:0:41 10012 100 17,2.001582993,113.367379135,111.528927053,1
11:0:21 11:0:41 10029 100 17,2.004222979,121.626317581,119.776907512,1
11:0:21 11:0:41 10033 100 17,2.004783975,114.135242725,112.286459663,1
11:0:21 11:0:41 10026 100 17,2.00372798,77.267423184,75.420788121,1
11:0:21 11:0:41 10040 100 17,2.00566297,120.664940119,118.818616058,1
11:0:21 11:0:41 10032 100 17,2.004594976,125.645490335,123.805621276,1
11:0:21 11:0:41 10095 100 17,2.028538928,803.405757169,801.475954192,3
11:0:21 11:0:41 10037 100 17,2.005284972,125.482041428,123.638805364,1
11:0:21 11:0:41 10043 100 17,2.006099967,123.662593416,121.819359348,1
11:0:21 11:0:41 10001 100 17,2.000125,126.757614754,124.920271664,1
11:0:21 11:0:41 10045 100 17,2.006480966,521.666926624,519.774152593,2
11:0:21 11:0:41 10013 100 17,2.001774993,117.627396796,115.786162717,1
11:0:21 11:0:41 10042 100 17,2.005975968,119.143991962,117.291681901,1
11:0:21 11:0:41 10046 100 17,2.006645965,916.917538302,914.984396293,2
11:0:21 11:0:41 10059 100 17,2.011573957,6589.082174403,6587.070810444,3
11:0:21 11:0:41 10048 100 17,2.006936964,2439.578514664,2437.586935689,2
11:0:21 11:0:41 10061 100 17,2.013219955,760.465402132,758.560470122,3
