flow id:,first send:,last send:,last arrive:,send num:,receive num,FCT:,origin_pg:
11:0:31 11:0:41 10062 100 17,2.00219514,507.418325909,507.420126705,12820373,12820494,505.417931565,3
11:0:31 11:0:41 10061 100 17,2.002169941,218.129291001,218.140485369,876351,876485,216.138315428,3
11:0:31 11:0:41 10060 100 17,2.002145142,237.902168522,237.909226902,1071706,1071857,235.90708176,3
11:0:31 11:0:41 10059 100 17,2.002107543,738.68383745,738.68389745,46449423,46449792,736.681789907,3
11:0:31 11:0:41 10021 100 17,2.000576779,118.937591494,118.937896895,1841,1841,116.937320116,1
11:0:31 11:0:41 10024 100 17,2.000651376,113.816144352,113.816232952,3809,3809,111.815581576,1
11:0:31 11:0:41 10083 100 17,2.003796922,285.968624934,285.973328518,3248117,3248375,283.969531596,3
11:0:31 11:0:41 10020 100 17,2.00055178,124.015619009,124.015683209,2083,2083,122.015131429,1
11:0:31 11:0:41 10027 100 17,2.000761373,121.956329646,121.956648246,1371,1373,119.955886873,1
11:0:31 11:0:41 10055 100 17,2.001621946,185.364720994,185.380069952,541666,541778,183.378448006,3
11:0:31 11:0:41 10018 100 17,2.000501382,124.01559401,124.01565841,2071,2071,122.015157028,1
11:0:31 11:0:41 10025 100 17,2.000713575,97.10247837,97.10253117,1707,1707,95.101817595,1
11:0:31 11:0:41 10040 100 17,2.001134761,124.981185253,124.981491254,2089,2089,122.980356493,1
11:0:31 11:0:41 10013 100 17,2.000363187,117.576618971,117.576925371,1837,1837,115.576562184,1
11:0:31 11:0:41 10082 100 17,2.003770523,381.322226756,381.324966545,1519022,1519104,379.321196022,3
11:0:31 11:0:41 10002 100 17,2.000049998,126.802136955,126.802433156,1123,1123,124.802383158,1
11:0:31 11:0:41 10014 100 17,2.000388586,89.029396602,89.050660122,3445,3445,87.050271536,1
11:0:31 11:0:41 10094 100 17,2.004480714,354.560504627,354.565826607,3009694,3009909,352.561345893,3
11:0:31 11:0:41 10003 100 17,2.000088197,88.688365845,88.688712044,1472,1472,86.688623847,1
11:0:31 11:0:41 10097 100 17,2.004851911,1612.490027653,1612.490104851,208233140,208233563,1610.48525294,3
11:0:31 11:0:41 10052 100 17,2.001515149,128.962074879,128.962395679,149542,149542,126.96088053,2
11:0:31 11:0:41 10089 100 17,2.004228118,129.646520384,129.666939309,97519,97555,127.662711191,3
11:0:31 11:0:41 10015 100 17,2.000413385,117.365077555,117.365421951,1055,1055,115.365008566,1
11:0:31 11:0:41 10004 100 17,2.000112996,111.539570434,111.539731835,4614,4614,109.539618839,1
11:0:31 11:0:41 10005 100 17,2.000137995,121.451137154,121.451382353,1954,1954,119.451244358,1
11:0:31 11:0:41 10016 100 17,2.000451184,125.352369293,125.352445693,2083,2083,123.351994509,1
11:0:31 11:0:41 10000 100 17,2,117.526116957,117.526184758,1837,1837,115.526184758,1
11:0:31 11:0:41 10017 100 17,2.000476383,75.296811476,75.297138475,1199,1199,73.296662092,1
11:0:31 11:0:41 10029 100 17,2.000837772,124.008659032,124.00897423,2733,2733,122.008136458,1
11:0:31 11:0:41 10098 100 17,2.00488951,992.576434869,992.576492067,79645694,79646093,990.571602557,3
11:0:31 11:0:41 10022 100 17,2.000601578,123.651724999,123.651966199,2069,2070,121.651364621,1
11:0:31 11:0:41 10007 100 17,2.000187193,126.949455624,126.949539825,1089,1089,124.949352632,1
11:0:31 11:0:41 10026 100 17,2.000736574,128.17659711,128.17682971,2052,2052,126.176093136,1
11:0:31 11:0:41 10032 100 17,2.000924569,118.933768106,118.933944907,1842,1843,116.933020338,1
11:0:31 11:0:41 10038 100 17,2.001079763,123.036314793,123.036666394,1097,1097,121.035586631,1
11:0:31 11:0:41 10009 100 17,2.000249991,118.929347729,118.929403328,1842,1842,116.929153337,1
11:0:31 11:0:41 10056 100 17,2.001751546,199.498324757,199.513072112,470255,470351,197.511320566,3
11:0:31 11:0:41 10001 100 17,2.000024799,70.78980138,70.789886777,1098,1098,68.789861978,1
11:0:31 11:0:41 10010 100 17,2.00027519,113.537238623,113.537340624,1623,1623,111.537065434,1
11:0:31 11:0:41 10067 100 17,2.002316336,556.307104745,556.308375144,39002549,39003025,554.306058808,3
11:0:31 11:0:41 10023 100 17,2.000626977,108.168681412,108.168751612,5134,5134,106.168124635,1
11:0:31 11:0:41 10019 100 17,2.000526381,118.929372528,118.929428127,1842,1842,116.928901746,1
11:0:31 11:0:41 10042 100 17,2.001184359,128.179162902,128.179327502,2212,2212,126.178143143,1
