flow id:,first send:,last send:,last arrive:,send num:,receive num,FCT:,origin_pg:,transfer delay:
11:0:11 11:0:41 10056 100 17,2.00218294,172.01814089,172.032762844,460257,460353,170.030579904,3,0
11:0:11 11:0:41 10055 100 17,2.001875741,175.931933056,175.947709209,275660,275727,173.945833468,3,0
11:0:21 11:0:41 10097 100 17,2.010058473,132.789250788,132.808475325,194415,194462,130.798416852,3,0
11:0:21 11:0:41 10094 100 17,2.008714884,435.244245355,435.24610975,10358901,10359218,433.237394866,3,0
11:0:21 11:0:41 10093 100 17,2.008647886,295.364867982,295.370035569,3094768,3095006,293.361387683,3,0
11:0:21 11:0:41 10091 100 17,2.008320688,115.984271542,116.004082281,104134,104172,113.995761593,3,0
11:0:21 11:0:41 10090 100 17,2.008283089,1145.993529316,1145.993780697,183931286,183931764,1143.985497608,3,0
11:0:21 11:0:41 10087 100 17,2.007289694,245.461193206,245.468785383,1140770,1140917,243.461495689,3,0
11:0:21 11:0:41 10086 100 17,2.007264495,202.349719122,202.361476688,707016,707139,200.354212193,3,0
11:0:21 11:0:41 10089 100 17,2.008256289,133.797875515,133.817135849,441748,441875,131.80887956,3,0
11:0:21 11:0:41 10084 100 17,2.007208697,462.907813885,462.90894968,5313954,5314187,460.901740983,3,0
11:0:21 11:0:41 10096 100 17,2.009712875,463.661070604,463.661392188,5315919,5316147,461.651679313,3,0
11:0:21 11:0:41 10083 100 17,2.006713497,430.382577976,430.385253568,10243787,10244119,428.378540071,3,0
11:0:21 11:0:41 10079 100 17,2.005924505,217.848390358,217.859552129,686845,686956,215.853627624,3,0
11:0:21 11:0:41 10077 100 17,2.005857507,455.42619053,455.428278922,25834631,25835047,453.422421415,3,0
11:0:21 11:0:41 10076 100 17,2.005835108,522.443942726,522.445305323,13152685,13152802,520.439470215,3,0
11:0:21 11:0:41 10099 100 17,2.010130471,263.095506996,263.102676578,1346156,1346326,261.092546107,3,0
11:0:21 11:0:41 10072 100 17,2.005461117,194.055833374,194.071599931,522542,522643,192.066138814,3,0
11:0:21 11:0:41 10071 100 17,2.005438718,3176.940804702,3176.9408507,221063552,221063936,3174.935411982,3,0
11:0:21 11:0:41 10092 100 17,2.008623087,151.185309196,151.204216137,352618,352709,149.19559305,3,0
11:0:21 11:0:41 10069 100 17,2.005389719,268.792816263,268.80010264,2625171,2625427,266.794712921,3,0
11:0:21 11:0:41 10066 100 17,2.004682923,104.398845132,104.418236865,69146,69166,102.413553942,3,0
11:0:21 11:0:41 10065 100 17,2.004399724,145.039952278,145.05774502,120948,120985,143.053345296,3,0
11:0:21 11:0:41 10063 100 17,2.004278727,135.514345251,135.533766992,88906,88930,133.529488265,3,0
11:0:21 11:0:41 10062 100 17,2.004231729,156.365037452,156.382185994,171777,171830,154.377954265,3,0
11:0:21 11:0:41 10028 100 17,2.000806173,128.646739207,128.665486545,2204,2204,126.664680372,1,0
11:0:21 11:0:41 10027 100 17,2.000768173,118.689420116,118.708554849,1335,1335,116.707786676,1,0
11:0:21 11:0:41 10025 100 17,2.000718575,95.481049223,95.501512357,3974,3975,93.500793782,1,0
11:0:21 11:0:41 10098 100 17,2.010083872,847.147710781,847.147795979,1612335,1612359,845.137712107,3,0
11:0:21 11:0:41 10070 100 17,2.005416519,522.420001377,522.420585977,13016220,13016353,520.415169458,3,0
11:0:21 11:0:41 10022 100 17,2.000617778,120.086152244,120.105238173,2894,2896,118.104620395,1,0
11:0:21 11:0:41 10021 100 17,2.000579579,117.510119741,117.529162268,1158,1159,115.528582689,1,0
11:0:21 11:0:41 10053 100 17,2.00191334,134.887179566,134.907532102,182504,182560,132.905618762,2,0
11:0:21 11:0:41 10020 100 17,2.00055418,125.34508296,125.364080097,2083,2086,123.363525917,1,0
11:0:21 11:0:41 10067 100 17,2.004708122,274.014208487,274.020389475,1536538,1536700,272.015681353,3,0
11:0:21 11:0:41 10047 100 17,2.001474552,193.806276588,193.821088345,663182,663302,191.819613793,2,0
11:0:21 11:0:41 10019 100 17,2.000529381,128.243129231,128.261202571,2212,2212,126.26067319,1,0
11:0:21 11:0:41 10044 100 17,2.001257958,124.801026262,124.818281802,1428,1430,122.817023844,1,0
11:0:21 11:0:41 10080 100 17,2.0066299,179.057137577,179.07154233,503366,503456,177.06491243,3,0
11:0:21 11:0:41 10024 100 17,2.000693776,92.105472717,92.127732646,1961,1961,90.12703887,1,0
11:0:21 11:0:41 10055 100 17,2.002069738,220.365224474,220.375650648,843866,844012,218.37358091,3,0
11:0:21 11:0:41 10018 100 17,2.000504582,118.719026212,118.737963351,1836,1836,116.737458769,1,0
11:0:21 11:0:41 10023 100 17,2.000655977,125.931768845,125.950182976,2998,2999,123.949526999,1,0
11:0:21 11:0:41 10085 100 17,2.007238296,272.101650528,272.105996519,1454003,1454174,270.098758223,3,0
11:0:21 11:0:41 10058 100 17,2.002924335,569.807360214,569.807691886,23069585,23069919,567.804767551,3,0
11:0:21 11:0:41 10064 100 17,2.004353525,407.627763748,407.630533137,1048888,1049043,405.626179612,3,0
11:0:21 11:0:41 10017 100 17,2.000479183,116.563394201,116.580845739,2591,2593,114.580366556,1,0
11:0:21 11:0:41 10078 100 17,2.005878306,204.175283077,204.186796846,880019,880187,202.18091854,3,0
11:0:21 11:0:41 10030 100 17,2.000869371,117.520124299,117.537686633,1837,1838,115.536817262,1,0
11:0:21 11:0:41 10073 100 17,2.005486316,292.015185321,292.019478506,2682176,2682394,290.01399219,3,0
11:0:21 11:0:41 10036 100 17,2.001031765,124.003362802,124.020207938,2077,2080,122.019176173,1,0
11:0:21 11:0:41 10038 100 17,2.001082163,107.447611183,107.468167309,1657,1657,105.467085146,1,0
11:0:21 11:0:41 10014 100 17,2.000393186,122.309671779,122.328304112,1894,1894,120.327910926,1,0
11:0:21 11:0:41 10000 100 17,2,123.689015509,123.707108845,2084,2084,121.707108845,1,0
11:0:21 11:0:41 10054 100 17,2.002018539,8.88778943,8.907710556,295,295,6.905692017,2,0
11:0:21 11:0:41 10074 100 17,2.005624913,255.836936869,255.844013848,1172603,1172761,253.838388935,3,0
11:0:21 11:0:41 10016 100 17,2.000456184,75.519622186,75.539068118,1515,1516,73.538611934,1,0
11:0:21 11:0:41 10003 100 17,2.000086197,101.255042878,101.274284213,2817,2818,99.274198016,1,0
11:0:21 11:0:41 10004 100 17,2.000111196,113.565199616,113.58213076,1627,1629,111.582019564,1,0
11:0:21 11:0:41 10068 100 17,2.00534172,450.897090951,450.898158948,7364621,7364712,448.892817228,3,0
11:0:21 11:0:41 10005 100 17,2.000140995,128.182882052,128.201989583,2212,2212,126.201848588,1,0
11:0:21 11:0:41 10088 100 17,2.007314893,244.656152166,244.663450943,1114226,1114359,242.65613605,3,0
11:0:21 11:0:41 10039 100 17,2.001107162,128.212063744,128.231904874,2212,2212,126.230797712,1,0
11:0:21 11:0:41 10015 100 17,2.000431385,124.06109119,124.079907322,2071,2080,122.079475937,1,0
11:0:21 11:0:41 10006 100 17,2.000166194,121.753466541,121.772266678,1970,1972,119.772100484,1,0
11:0:21 11:0:41 10041 100 17,2.00117036,106.331396335,106.349289673,1767,1767,104.348119313,1,0
11:0:21 11:0:41 10011 100 17,2.000291589,123.688107713,123.706627247,2084,2084,121.706335658,1,0
11:0:21 11:0:41 10056 100 17,2.002094537,266.059945331,266.066686709,1397148,1397315,264.064592172,3,0
11:0:21 11:0:41 10081 100 17,2.006654299,306.552221734,306.555952123,2290029,2290248,304.549297824,3,0
11:0:21 11:0:41 10034 100 17,2.000981967,85.418084819,85.437863152,2282,2283,83.436881185,1,0
11:0:21 11:0:41 10007 100 17,2.000191593,108.139537457,108.157396384,7250,7254,106.157204791,1,0
11:0:21 11:0:41 10060 100 17,2.002984333,259.988762825,259.995129207,1266066,1266227,257.992144874,3,0
11:0:21 11:0:41 10049 100 17,2.00153415,8.896895603,8.916539527,295,296,6.915005377,2,0
11:0:21 11:0:41 10051 100 17,2.001739744,5871.20463254,5871.20468814,4054651,4054652,5869.202948396,2,0
11:0:21 11:0:41 10008 100 17,2.000216392,100.878880824,100.899884348,4139,4142,98.899667956,1,0
11:0:21 11:0:41 10035 100 17,2.001006966,121.612205436,121.630868167,1972,1972,119.629861201,1,0
11:0:21 11:0:41 10002 100 17,2.000063198,97.339062458,97.359520983,1679,1679,95.359457785,1,0
11:0:21 11:0:41 10010 100 17,2.00026659,128.206146366,128.224831903,2212,2212,126.224565313,1,0
11:0:21 11:0:41 10031 100 17,2.00089417,123.697800477,123.715005415,2084,2084,121.714111245,1,0
11:0:21 11:0:41 10082 100 17,2.006692698,101.294799932,101.313951465,87022,87064,99.307258767,3,0
11:0:21 11:0:41 10075 100 17,2.005650312,258.654671383,258.661943962,2118180,2118400,256.65629365,3,0
11:0:21 11:0:41 10012 100 17,2.000316588,112.976219296,112.994713623,1385,1387,110.994397035,1,0
11:0:21 11:0:41 10029 100 17,2.000844572,121.428252899,121.447419428,1951,1951,119.446574856,1,0
11:0:21 11:0:41 10033 100 17,2.000956768,111.841031405,111.858468547,1681,1681,109.857511779,1,0
11:0:21 11:0:41 10026 100 17,2.000745574,75.309212723,75.32931625,1079,1080,73.328570676,1,0
11:0:21 11:0:41 10040 100 17,2.001132561,120.484628618,120.506937341,1108,1111,118.50580478,1,0
11:0:21 11:0:41 10032 100 17,2.000918969,125.575365534,125.591631272,1050,1053,123.590712303,1,0
11:0:21 11:0:41 10095 100 17,2.009601479,197.658181872,197.673571625,590221,590334,195.663970146,3,0
11:0:21 11:0:41 10037 100 17,2.001056964,125.330473012,125.34940095,2086,2086,123.348343986,1,0
11:0:21 11:0:41 10043 100 17,2.001219958,123.149378245,123.167800985,1351,1352,121.166581027,1,0
11:0:21 11:0:41 10001 100 17,2.000024999,126.665596286,126.684038625,1245,1246,124.684013626,1,0
11:0:21 11:0:41 10045 100 17,2.001296157,163.884128844,163.898854388,285998,286060,161.897558231,2,0
11:0:21 11:0:41 10013 100 17,2.000354987,117.508924545,117.527498873,1113,1113,115.527143886,1,0
11:0:21 11:0:41 10042 100 17,2.001195159,118.91347154,118.933361071,1845,1845,116.932165912,1,0
11:0:21 11:0:41 10046 100 17,2.001329156,239.152637522,239.161627292,952686,952805,237.160298136,2,0
11:0:21 11:0:41 10059 100 17,2.002961934,3486.629023718,3486.629067316,220489658,220490040,3484.626105382,3,0
11:0:21 11:0:41 10048 100 17,2.001496551,2439.120034477,2439.120111675,100121,100121,2437.118615124,2,0
11:0:21 11:0:41 10061 100 17,2.003597931,208.026362468,208.038116433,561329,561435,206.034518502,3,0
11:0:21 11:0:41 10009 100 17,2.000241591,123.73844473,123.757353265,2077,2079,121.757111674,1,0
11:0:21 11:0:41 10050 100 17,2.001585349,192.050282803,192.062172569,639831,639949,190.06058722,2,0
11:0:21 11:0:41 10052 100 17,2.001766544,238.619323336,238.628933106,948274,948408,236.627166562,2,0
11:0:21 11:0:41 10057 100 17,2.002310536,143.213647097,143.233164639,93976,93996,141.230854103,3,0
11:0:31 11:0:41 10099 100 17,2.008068081,339.931201811,339.934193801,6742427,6742745,337.92612572,3,0
11:0:31 11:0:41 10095 100 17,2.007057286,365.957446392,365.961766576,7218111,7218413,363.95470929,3,0
11:0:31 11:0:41 10092 100 17,2.006847889,302.349324844,302.354423628,2265140,2265363,300.347575739,3,0
11:0:31 11:0:41 10090 100 17,2.006120293,309.32263908,309.326100468,4257106,4257393,307.319980175,3,0
11:0:31 11:0:41 10088 100 17,2.006046096,206.129729316,206.140605483,715411,715544,204.134559387,3,0
11:0:31 11:0:41 10087 100 17,2.006021097,184.514198427,184.529739181,540385,540495,182.523718084,3,0
11:0:31 11:0:41 10085 100 17,2.005970899,187.600334233,187.615449581,452543,452619,185.609478682,3,0
11:0:31 11:0:41 10084 100 17,2.0053617,208.182365768,208.193273735,713362,713498,206.187912035,3,0
11:0:31 11:0:41 10080 100 17,2.005191304,456.916567336,456.917712132,5238208,5238442,454.912520828,3,0
11:0:31 11:0:41 10079 100 17,2.005165705,303.89558782,303.900203806,4654760,4655052,301.895038101,3,0
11:0:31 11:0:41 10078 100 17,2.005128106,1832.523565953,1832.523619951,519314745,519315351,1830.518491845,3,0
11:0:31 11:0:41 10076 100 17,2.004803708,156.358754274,156.374993418,186520,186557,154.37018971,3,0
11:0:31 11:0:41 10075 100 17,2.004754709,132.52523207,132.545010207,112292,112322,130.540255498,3,0
11:0:31 11:0:41 10093 100 17,2.006885488,273.480361201,273.487538782,1484573,1484745,271.480653294,3,0
11:0:31 11:0:41 10074 100 17,2.004312711,220.38338202,220.392854591,657965,658082,218.38854188,3,0
11:0:31 11:0:41 10073 100 17,2.00376672,588.648781577,588.649620967,18898619,18898869,586.645854247,3,0
11:0:31 11:0:41 10072 100 17,2.003727521,1618.998212682,1618.99827948,225857698,225858124,1616.994551959,3,0
11:0:31 11:0:41 10070 100 17,2.003678123,151.894153382,151.909279529,251210,251263,149.905601406,3,0
11:0:31 11:0:41 10081 100 17,2.005229703,458.276095687,458.277752084,5264496,5264729,456.272522381,3,0
11:0:31 11:0:41 10069 100 17,2.003651323,239.366038859,239.374152434,1830410,1830637,237.370501111,3,0
11:0:31 11:0:41 10068 100 17,2.003525324,231.07126074,231.080798717,774638,774765,229.077273393,3,0
11:0:31 11:0:41 10066 100 17,2.002883927,144.279694184,144.296880731,102186,102219,142.293996804,3,0
11:0:31 11:0:41 10071 100 17,2.003703322,131.556154979,131.575583513,147600,147657,129.571880191,3,0
11:0:31 11:0:41 10065 100 17,2.002854328,741.087165368,741.087225368,46529703,46530069,739.08437104,3,0
11:0:31 11:0:41 10064 100 17,2.002805329,145.874918381,145.892880527,95461,95502,143.890075198,3,0
11:0:31 11:0:41 10063 100 17,2.002742331,192.926256217,192.939771973,413208,413294,190.937029642,3,0
11:0:31 11:0:41 10062 100 17,2.002724932,501.0779184,501.079341793,12681332,12681471,499.076616861,3,0
11:0:31 11:0:41 10061 100 17,2.002699733,213.674939469,213.684583034,838304,838441,211.681883301,3,0
11:0:31 11:0:41 10060 100 17,2.002650135,232.777801105,232.786124079,1023059,1023204,230.783473944,3,0
11:0:31 11:0:41 10059 100 17,2.002612536,735.186857182,735.187152584,46473852,46474227,733.184540048,3,0
11:0:31 11:0:41 10021 100 17,2.000601778,118.919823912,118.940888842,1840,1845,116.940287064,1,0
11:0:31 11:0:41 10024 100 17,2.000676375,114.336556299,114.355677238,3822,3822,112.355000863,1,0
11:0:31 11:0:41 10083 100 17,2.005285701,281.356458469,281.362491252,3127825,3128090,279.357205551,3,0
11:0:31 11:0:41 10020 100 17,2.000576779,124.001709808,124.018326548,2077,2083,122.017749769,1,0
11:0:31 11:0:41 10027 100 17,2.000786372,121.947997644,121.96638318,1369,1373,119.965596808,1,0
11:0:31 11:0:41 10055 100 17,2.001704543,181.579606665,181.594332615,521125,521228,179.592628072,3,0
11:0:31 11:0:41 10018 100 17,2.000526381,124.003358402,124.020182739,2071,2074,122.019656358,1,0
11:0:31 11:0:41 10025 100 17,2.000738574,97.444503076,97.4646966,1708,1708,95.463958026,1,0
11:0:31 11:0:41 10040 100 17,2.001184559,124.973683053,124.991954985,2089,2092,122.990770426,1,0
11:0:31 11:0:41 10013 100 17,2.000388186,117.570049906,117.589035039,1838,1838,115.588646853,1,0
11:0:31 11:0:41 10082 100 17,2.005259302,379.777443169,379.780529157,1509562,1509635,377.775269855,3,0
11:0:31 11:0:41 10002 100 17,2.000049998,126.797347647,126.816672776,1123,1123,124.816622778,1,0
11:0:31 11:0:41 10014 100 17,2.000413585,89.291438338,89.310957269,3453,3453,87.310543684,1,0
11:0:31 11:0:41 10094 100 17,2.007011087,349.691234595,349.697088375,2915678,2915883,347.690077288,3,0
11:0:31 11:0:41 10003 100 17,2.000088197,88.863405436,88.883345371,1474,1474,86.883257174,1,0
11:0:31 11:0:41 10097 100 17,2.007991283,1613.794966138,1613.795043336,208229484,208229908,1611.787052053,3,0
11:0:31 11:0:41 10052 100 17,2.001597746,128.88670517,128.907954704,149470,149517,126.906356958,2,0
11:0:31 11:0:41 10089 100 17,2.006070895,125.467403933,125.485849463,91965,92000,123.479778568,3,0
11:0:31 11:0:41 10015 100 17,2.000438384,117.365680254,117.38347959,1055,1055,115.383041206,1,0
11:0:31 11:0:41 10004 100 17,2.000112996,111.871997098,111.889667839,4633,4634,109.889554843,1,0
11:0:31 11:0:41 10005 100 17,2.000137995,121.444530437,121.463500566,1954,1954,119.463362571,1,0
