flow id:,first send:,last send:,last arrive:,send num:,receive num:,send size:,receive size:,FCT:,origin_pg:,transfer delay:
11:0:11 11:0:41 10029 100 17,2.000766171,117.923217785,117.923520585,2936,2936,5083,5083,115.922754414,1,0
11:0:11 11:0:41 10038 100 17,2.001029563,97.548488255,97.548711456,2333,2333,3952,3952,95.547681893,1,0
11:0:11 11:0:41 10043 100 17,2.001200557,128.178375303,128.178445302,2052,2052,2227,2227,126.177244745,1,0
11:0:11 11:0:41 10030 100 17,2.00079097,126.811211588,126.811530389,1775,1775,3901,3901,124.810739419,1,0
11:0:11 11:0:41 10031 100 17,2.000829369,107.613759137,107.614078137,985,985,2547,2547,105.613248768,1,0
11:0:11 11:0:41 10032 100 17,2.000867369,125.494243587,125.494549787,2083,2083,2291,2291,123.493682418,1,0
11:0:11 11:0:41 10033 100 17,2.000892768,122.952266268,122.952500069,1461,1461,3355,3355,120.951607301,1,0
11:0:11 11:0:41 10052 100 17,2.001625147,126.581258825,126.581383824,144538,144541,315980,315980,124.579758677,2,0
11:0:11 11:0:41 10081 100 17,2.003619316,397.946547634,397.950050623,9011951,9012274,50210772,50210772,395.946431307,3,0
11:0:11 11:0:41 10019 100 17,2.000515781,117.499453326,117.499719326,1838,1838,2153,2153,115.499203545,1,0
11:0:11 11:0:41 10035 100 17,2.000953566,124.004097369,124.00432597,2077,2077,2290,2290,122.003372404,1,0
11:0:11 11:0:41 10037 100 17,2.001004364,118.896084446,118.896313447,1842,1842,2148,2148,116.895309083,1,0
11:0:11 11:0:41 10080 100 17,2.003596117,362.679016974,362.681899162,2207535,2207671,14993812,14993812,360.678303045,3,0
11:0:11 11:0:41 10040 100 17,2.001090761,125.333571375,125.333800376,2086,2086,2287,2287,123.332709615,1,0
11:0:11 11:0:41 10058 100 17,2.002233338,181.557122386,181.573918545,292325,292411,5245604,5245604,179.571685207,3,0
11:0:11 11:0:41 10041 100 17,2.00111576,126.98121937,126.98150337,3777,3777,5580,5580,124.98038761,1,0
11:0:11 11:0:41 10083 100 17,2.003669714,209.006537752,209.018410716,666572,666697,8572285,8572285,207.014741002,3,0
11:0:11 11:0:41 10042 100 17,2.001175358,127.537979802,127.538228002,2214,2214,2369,2369,125.537052644,1,0
11:0:11 11:0:41 10007 100 17,2.000199993,104.287246985,104.287533386,1356,1356,2874,2874,102.287333393,1,0
11:0:11 11:0:41 10045 100 17,2.001250955,139.596283926,139.596492725,282413,282417,401905,401905,137.59524177,2,0
11:0:11 11:0:41 10047 100 17,2.001330352,146.185130655,146.185373056,250529,250530,726717,726717,144.184042704,2,0
11:0:11 11:0:41 10094 100 17,2.004305703,4045.286154379,4045.286209979,32491663,32491664,1249560,1249560,4043.281904276,3,0
11:0:11 11:0:41 10062 100 17,2.002352934,576.973916955,576.974191916,46922833,46923343,108307685,108307685,574.971838982,3,0
11:0:11 11:0:41 10011 100 17,2.000313189,128.566770874,128.567004475,2198,2198,3534,3534,126.566691286,1,0
11:0:11 11:0:41 10050 100 17,2.001488949,153.463765066,153.464139063,299732,299735,796274,796274,151.462650114,2,0
11:0:11 11:0:41 10051 100 17,2.001551948,139.713696131,139.714008732,32079,32079,47544,47544,137.712456784,2,0
11:0:11 11:0:41 10054 100 17,2.001726545,139.047777244,139.048197444,508470,508471,957171,957171,137.046470899,2,0
11:0:11 11:0:41 10056 100 17,2.00218294,175.618539875,175.632243637,476680,476782,6966217,6966217,173.630060697,3,0
11:0:11 11:0:41 10055 100 17,2.001875741,180.004052214,180.020260969,287123,287201,4746948,4746948,178.018385228,3,0
11:0:21 11:0:41 10097 100 17,2.010058473,135.82225294,135.840253882,201358,201413,3594153,3594153,133.830195409,3,0
11:0:21 11:0:41 10094 100 17,2.008714884,435.498695512,435.501058303,10251305,10251623,41473723,41473723,433.492343419,3,0
11:0:21 11:0:41 10093 100 17,2.008647886,300.56798811,300.572790699,3201539,3201782,20970676,20970676,298.564142813,3,0
11:0:21 11:0:41 10091 100 17,2.008320688,116.8788314,116.899050933,104939,104977,2229754,2229754,114.890730245,3,0
11:0:21 11:0:41 10090 100 17,2.008283089,1150.624680498,1150.625020002,185080763,185081240,246506001,246506001,1148.616736913,3,0
