flow id:,first send:,last send:,last arrive:,send num:,receive num:,send size:,receive size:,FCT:,origin_pg:
11:0:21 11:0:41 10093 100 17,2.015560117,199.78572444,199.785694042,66242,66239,747417,745939,197.770133925,3
11:0:21 11:0:41 10091 100 17,2.015019118,199.785413241,199.785387243,66242,66238,945000,943500,197.770368125,3
11:0:21 11:0:41 10090 100 17,2.014707919,199.780761056,199.780735058,66238,66235,922441,920941,197.766027139,3
11:0:21 11:0:41 10087 100 17,2.013869522,199.777100665,199.777074667,66233,66230,945000,943500,197.763205145,3
11:0:21 11:0:41 10086 100 17,2.013558323,199.776478267,199.776452269,66233,66230,945000,943500,197.762893946,3
11:0:21 11:0:41 10089 100 17,2.01448392,199.791425823,199.791399825,66258,66255,672448,671384,197.776915905,3
11:0:21 11:0:41 10084 100 17,2.012943925,199.773463676,199.773437678,66229,66226,919800,918340,197.760493753,3
11:0:21 11:0:41 10096 100 17,2.016484914,71.439267236,71.743440527,7962,8031,306000,306000,69.726955613,3
11:0:21 11:0:41 10083 100 17,2.012632726,199.772239678,199.77221368,66228,66225,945000,943500,197.759580954,3
11:0:21 11:0:41 10079 100 17,2.011397529,199.767772493,199.767746495,66225,66222,914760,913308,197.756348966,3
11:0:21 11:0:41 10077 100 17,2.010775131,199.765938898,199.7659129,66225,66222,945000,943500,197.755137769,3
11:0:21 11:0:41 10076 100 17,2.010471932,199.764478103,199.764452105,66225,66222,919800,918340,197.753980173,3
11:0:21 11:0:41 10099 100 17,2.017408912,199.757536324,199.757469926,66052,66049,791282,790024,197.740061014,3
11:0:21 11:0:41 10072 100 17,2.009322336,199.758110322,199.758084324,65729,65725,934620,933120,197.748761988,3
11:0:21 11:0:41 10071 100 17,2.009019137,199.761726911,199.761700913,66221,66218,919800,918340,197.752681776,3
11:0:21 11:0:41 10092 100 17,2.015330317,199.795145612,199.795119614,66272,66269,692962,691869,197.779789297,3
11:0:21 11:0:41 10069 100 17,2.008404739,199.760276315,199.760250317,66218,66215,945000,943500,197.751845578,3
11:0:21 11:0:41 10066 100 17,2.007481541,199.814923154,199.814889156,66255,66252,868716,867673,197.807407615,3
11:0:21 11:0:41 10065 100 17,2.007251741,199.838978686,199.838952688,66372,66369,703892,702799,197.831700947,3
11:0:21 11:0:41 10063 100 17,2.006629343,199.812798759,199.812772761,66253,66250,945000,943500,197.806143418,3
11:0:21 11:0:41 10062 100 17,2.006318144,199.811258764,199.811232766,66251,66248,945000,943500,197.804914622,3
11:0:21 11:0:41 10028 100 17,2.001403774,8.801350973,8.801689373,394,404,8310,8310,6.800285599,1
11:0:21 11:0:41 10027 100 17,2.001349975,6.905599973,6.905872973,236,239,8317,8317,4.904522998,1
11:0:21 11:0:41 10025 100 17,2.001237977,6.712365494,6.712706693,249,254,8236,8236,4.711468716,1
11:0:21 11:0:41 10098 100 17,2.017107312,199.797306406,199.797280408,66246,66243,914760,913308,197.780173096,3
11:0:21 11:0:41 10070 100 17,2.008715938,199.760587514,199.760553516,66219,66216,919800,918340,197.751837578,3
11:0:21 11:0:41 10022 100 17,2.00110238,6.595091123,6.595500917,270,280,8272,8272,4.594398537,1
