,flow id:,first send:_no_sp,last send:_no_sp,last arrive:_no_sp,send num:_no_sp,receive num:_no_sp,send size:_no_sp,receive size:_no_sp,FCT:_no_sp,origin_pg:_no_sp,first send:_sp,last send:_sp,last arrive:_sp,send num:_sp,receive num:_sp,send size:_sp,receive size:_sp,FCT:_sp,origin_pg:_sp,FCT Change,FCT % Change
59,11:0:11 11:0:41 10057 100 17,2.004003147,199.884507608,199.88448161,66167,66164,933554,932054,197.880478463,3,2.004003147,199.749730647,199.749704649,66214,66211,933554,932054,197.745701502,3,-0.13477696100000003,-0.06811028659666438
60,11:0:11 11:0:41 10071 100 17,2.007658536,199.846036323,199.846010325,66147,66144,945000,943500,197.838351789,3,2.007658536,199.711406761,199.711380763,66192,66189,945000,943500,197.703722227,3,-0.13462956200001486,-0.06805028488288305
61,11:0:11 11:0:41 10006 100 17,2.000245595,15.109678534,15.473617767,315,330,8230,8230,13.473372172,1,2.000245595,6.88344154,6.883868735,182,187,8230,8230,4.88362314,1,-8.589749032,-63.753520071619384
62,11:0:11 11:0:41 10009 100 17,2.000390792,10.20251055,10.600716863,145,153,8442,8442,8.600326071,1,2.000390792,6.826673618,6.827061016,111,115,8442,8442,4.826670224,1,-3.7736558469999997,-43.87805550448414
63,11:0:11 11:0:41 10028 100 17,2.001486174,10.231550615,10.628196127,145,155,8422,8422,8.626709953,1,2.001486174,6.54583933,6.546398725,109,115,8422,8422,4.544912551,1,-4.081797402,-47.315806654430595
64,11:0:11 11:0:41 10018 100 17,2.000853184,18.83439706,19.188221118,504,522,8321,8321,17.187367934,1,2.000853184,6.788358594,6.788691594,258,262,8321,8321,4.78783841,1,-12.399529524000002,-72.14327156790127
65,11:0:11 11:0:41 10021 100 17,2.001070181,14.05429866,14.427823554,292,307,8378,8378,12.426753373,1,2.001070181,6.860187962,6.860454562,191,197,8378,8378,4.859384381,1,-7.5673689920000005,-60.89578480282599
66,11:0:11 11:0:41 10010 100 17,2.000425991,16.197339747,16.553622099,362,376,8422,8422,14.553196108,1,2.000425991,7.007379258,7.007734658,198,202,8422,8422,5.007308667,1,-9.545887441,-65.59306540061365
67,11:0:11 11:0:41 10000 100 17,2.0,20.133990504,20.48352319,599,622,8213,8213,18.48352319,1,2.0,6.862868748,6.863199946,309,317,8213,8213,4.863199946,1,-13.620323244,-73.68899913718235
68,11:0:11 11:0:41 10039 100 17,2.002121964,13.649181367,14.025162805,272,287,8291,8291,12.023040841,1,2.002121964,6.840628895,6.840954495,184,191,8291,8291,4.838832531,1,-7.18420831,-59.75367134661137
69,11:0:11 11:0:41 10005 100 17,2.000216996,33.380474603,33.72003352,1649,1687,8267,8267,31.719816524,1,2.000216996,10.811313031,10.811513632,721,730,8267,8267,8.811296636,1,-22.908519888,-72.2214766616536
70,11:0:11 11:0:41 10079 100 17,2.00969333,199.855332696,199.855306698,66153,66150,937829,936329,197.845613368,3,2.00969333,199.718636939,199.718610941,66195,66192,937829,936329,197.708917611,3,-0.13669575699998404,-0.06909213435312564
71,11:0:11 11:0:41 10029 100 17,2.001548373,15.899809792,16.256272123,374,392,8199,8199,14.25472375,1,2.001548373,6.34701215,7.066653302,224,232,8199,8199,5.065104929,1,-9.189618821,-64.46718282421993
72,11:0:11 11:0:41 10038 100 17,2.002097765,23.353174768,23.701833899,802,831,8237,8237,21.699736134,1,2.002097765,8.637959218,8.638286018,416,426,8237,8237,6.636188253,1,-15.063547880999998,-69.4181154461037
73,11:0:11 11:0:41 10043 100 17,2.00235516,25.472536658,25.823970233,949,979,8305,8305,23.821615073,1,2.00235516,9.171471037,9.171836435,471,480,8305,8305,7.169481275,1,-16.652133798,-69.90346266183242
74,11:0:11 11:0:41 10030 100 17,2.001614572,29.928747983,30.274976623,1308,1337,8228,8228,28.273362051,1,2.001614572,6.849086249,6.849461848,468,471,8228,8228,4.847847276,1,-23.425514775,-82.85365826937962
75,11:0:11 11:0:41 10031 100 17,2.001647971,20.172189963,20.520774447,583,603,8327,8327,18.519126476,1,2.001647971,6.877148383,6.87731738,280,285,8327,8327,4.875669409,1,-13.643457067,-73.67224952365513
76,11:0:11 11:0:41 10032 100 17,2.00171197,9.024259315,9.420843824,121,130,8317,8317,7.419131854,1,2.00171197,6.768588777,6.769033176,104,110,8317,8317,4.767321206,1,-2.6518106479999997,-35.74286992312025
77,11:0:11 11:0:41 10033 100 17,2.00182597,16.399947689,16.754678245,373,388,8282,8282,14.752852275,1,2.00182597,6.826844415,6.827164013,216,220,8282,8282,4.825338043,1,-9.927514232,-67.29216863930131
78,11:0:11 11:0:41 10052 100 17,2.003412352,171.580827603,171.876549332,48313,48487,65538,65538,169.87313698,2,2.003412352,149.42819092,149.730069228,36892,37042,65538,65538,147.726656876,2,-22.146480104000005,-13.037070191155308
79,11:0:11 11:0:41 10081 100 17,2.010315728,199.857761488,199.85773549,66154,66151,945000,943500,197.847419762,3,2.010315728,199.720111535,199.720085537,66196,66192,945000,943500,197.709769809,3,-0.13764995299999327,-0.06957379235250018
80,11:0:11 11:0:41 10019 100 17,2.000889983,11.429906826,11.817424609,186,198,8502,8502,9.816534626,1,2.000889983,6.769089173,6.769336372,138,144,8502,8502,4.768446389,1,-5.048088236999999,-51.42434096478069
81,11:0:11 11:0:41 10035 100 17,2.001934368,15.270721017,15.632930073,337,357,8204,8204,13.630995705,1,2.001934368,6.347092348,7.066898697,212,222,8204,8204,5.064964329,1,-8.566031376,-62.84230118903115
82,11:0:11 11:0:41 10037 100 17,2.002049366,21.610615581,21.960768293,674,696,8272,8272,19.958718927,1,2.002049366,6.821701457,6.822042057,306,312,8272,8272,4.819992691,1,-15.138726236,-75.85019004160858
83,11:0:11 11:0:41 10080 100 17,2.010004529,199.855955094,199.855929096,66154,66151,945000,943500,197.845924567,3,2.010004529,199.719489137,199.719463139,66195,66192,945000,943500,197.70945861,3,-0.13646595699998443,-0.06897587468564235
84,11:0:11 11:0:41 10040 100 17,2.002175963,14.591217955,14.959529746,295,308,8229,8229,12.957353783,1,2.002175963,6.346166368,7.066606503,189,193,8229,8229,5.06443054,1,-7.892923243,-60.91462327250403
85,11:0:11 11:0:41 10058 100 17,2.004314346,199.789993687,199.78996369,66008,66005,898778,897338,197.785649344,3,2.004314346,199.94983906,199.949809063,66253,66250,900218,898778,197.945494717,3,0.15984537299999602,0.08081747767351102
86,11:0:11 11:0:41 10041 100 17,2.002232162,11.430017825,11.817535608,186,198,8502,8502,9.815303446,1,2.002232162,6.769200172,6.769447371,138,144,8502,8502,4.767215209,1,-5.048088237,-51.43079136343188
87,11:0:11 11:0:41 10083 100 17,2.010930126,199.859301483,199.859275485,66154,66151,933626,932126,197.848345359,3,2.010930126,199.723059525,199.723033527,66197,66194,933626,932126,197.712103401,3,-0.13624195799999939,-0.06886181319979476
